種別（カードの場合はカード番号）,作者など,出典,権利種別,その他
w12(icon),Kwamikagami,https://commons.wikimedia.org/wiki/File:Russian_Orthodox_cross_(bold).svg,CC BY-SA 4.0,
w01(drawing),В.Г. Вагнера,"""Движение промышленников на Восток""",Public Domain,
w02(drawing),Edward Harding,"""The Costume of the Russian Empire"",PLATE XXII",Public Domain,
w03(drawing),Василий Иванович Суриков,"""Покорение Сибири Ермаком""",Public Domain,
w04(drawing),Андрей Петрович Рябушкин,"""Сидение царя Михаила Фёдоровича с боярами в его государевой комнате""",Public Domain,
w05(drawing),Cornelis Visscher,Portrait of Andreas Deonyszoon Winius,Public Domain,
w06(drawing),Frederic de Haenen,"""A CARPET FAIR AT ASTRAKHAN""(""Russia"",p356)",Public Domain,
w07(drawing),Николай Николаевич Каразин,"""Развѣдки сотника Волошенина въ Семирѣчьи и Илiйской долинѣ въ 1771 году.""",Public Domain,
w08(drawing),Thomas Rowlandson,"""Dutch Merchants""",Public Domain,
w09(drawing),Василий Суриков,"""Гребец в лодке""",Public Domain,
w10(drawing),John Augustus Atkinson,"""WINTER CARRIERS""("" A picturesque representation of the manners, customs, and amusements of the Russians"")",Public Domain,
w11(drawing),"Daniel Nikolaus Chodowiecki, Johann David Schleuen","""Elementarwerke für die Jugend und ihre Freunde"", Tafel LXXVII",Public Domain,
w12(drawing),Сергей Дмитриевич Милорадович,"""Путешествие Аввакума по Сибири""",Public Domain,
s01,М. И. Белова,https://commons.wikimedia.org/wiki/File:Mangazeya_(graphical_reconstruction).jpg,CC BY-SA 4.0,
s02,Василий Суриков,"""Степан Разин""",Public Domain,
s03(left),,"""Портреть первый Петрь Алексѣевичь""(К. А. Бороздина, ""Российский царственный дом Романовых"")",Public Domain,
s03(right),,https://commons.wikimedia.org/wiki/File:40_years_old_Kangxi.jpg,Public Domain,
s04,George Monro Grant,"""At the Portage: Hudson's Bay Company's Employés on their annual expedition""(George Monro Grant, ""Picturesque Canada, Vol. I"", p309)",Public Domain,
